pair_id,是否需单独判断,所属规则,产品A,品牌A,产品B,品牌B,模型一判定,模型一理由,模型二判定,模型二理由,向量相似度,您的判定（相同/可替代/不可替代/拿不准）,备注
P0187,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo™ Fetal Bovine Serum (FBS) - 500 ML,TribioScience,不可替代,"Charcoal-stripped FBS is hormone-depleted for specific assays, not interchangeable with standard FBS",可替代,"Both FBS 500ml, but A is charcoal-stripped (hormone-depleted), a functional difference; still serve serum role for some uses",0.880,,
P0188,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Premium USDA-Origin Fetal Bovine Serum (FBS) - 500 ml,AstorScientific,可替代,Both are FBS products but different treatments (charcoal stripped vs standard) affecting hormone content,不可替代,Charcoal-stripped FBS (hormone-depleted) vs standard FBS changes experimental outcome,0.841,,
P0189,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo™ Adipocyte Differentiation-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,可替代,Both are specialized FBS but qualified for different applications (charcoal-stripped for hormone studies vs adipocyte differentiation),不可替代,Charcoal-stripped (hormone-depleted) FBS vs differentiation-qualified standard FBS; different specification changes results,0.844,,
P0208,,同一基础配方，添加成分不同,"Fetal Bovine Serum (FBS), Premium, US Origin , Heat Inactivated",GenDEPOT,Premium USDA-Origin Fetal Bovine Serum (FBS) - 500 ml,AstorScientific,相同,"Both are premium US/USDA-origin heat-inactivated FBS, same product type",可替代,"Both premium US-origin FBS, but A is heat-inactivated and B is not",0.846,,
P0218,,同一基础配方，添加成分不同,Tribo™ Tet-Free Fetal Bovine Serum (FBS) - 500 ML,TribioScience,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,可替代,Both FBS products but different treatment (Tet-free vs charcoal stripped) serve overlapping but distinct purposes,不可替代,Tet-free FBS vs charcoal-stripped FBS serve different assay needs (hormone-free vs tetracycline-free),0.847,,
P0219,,同一基础配方，添加成分不同,Tribo™ Tet-Free Fetal Bovine Serum (FBS) - 500 ML,TribioScience,"Fetal Bovine Serum, Premium, US Origin, Dialyzed",GenDEPOT,可替代,"Both FBS products for cell culture, different brands/specs but similar purpose",不可替代,Tet-free FBS vs dialyzed FBS serve distinct specialized applications,0.816,,
P0347,,同一基础配方，添加成分不同,Ham’s F12 medium with L-Glutamine (TBS8032) - 500 ML,TribioScience,"Ham's F-10 Nutrient Mixture, With L-Glutamine - 500ml",GenDEPOT,不可替代,Ham's F12 vs Ham's F-10 are different nutrient formulations,可替代,"Different basal media formulations (F-12 vs F-10), similar purpose but distinct nutrient composition",0.811,,
P0350,,同一基础配方，添加成分不同,Ham’s F12 medium with L-Glutamine (TBS8032) - 500 ML,TribioScience,"Ham's F-12 (Kaighn's Modification),With L-Glutamine - 6x500ml",GenDEPOT,相同,"Same Ham's F12 with L-Glutamine base medium, differ only in pack size/supplier",可替代,Ham's F-12 vs Kaighn's modified F-12K differ in formulation but serve similar culture role,0.841,,
P0458,,同一基础配方，添加成分不同,Ham’s F12K Medium (TBS8032K) - 500 ML,TribioScience,"Ham's F-12 (Kaighn's Modification),With L-Glutamine - 6x500ml",GenDEPOT,可替代,Both Ham's F12-based media but different modifications (F12K vs Kaighn's),相同,"F12K is Kaighn's modification of Ham's F12; same medium, pack size differs",0.827,,
P0477,,同一基础配方，添加成分不同,Premium USDA-Origin Fetal Bovine Serum (FBS) - 50 ml,AstorScientific,"Fetal Bovine Serum, Premium, US Origin, Dialyzed",GenDEPOT,可替代,"Both premium US-origin FBS, minor spec difference (dialyzed)",不可替代,Standard FBS vs dialyzed FBS; dialysis removes small molecules and changes media formulation,0.809,,
P0563,,同一基础配方，添加成分不同,"DMEM/F12, HEPES (TBS8083) - 500 ML",TribioScience,"DMEM/Ham's F-12 (1:1 Mixture), With HEPES - 6x500ml",GenDEPOT,可替代,"same DMEM/F12+HEPES formulation, different brand/size",相同,"Same DMEM/F12 with HEPES medium, differing only in pack size/brand",0.847,,
P0791,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Tribo™ Germine Transmission Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,可替代,Both FBS products but charcoal-stripped vs germline-qualified serve different specialized purposes,不可替代,Charcoal-stripped (hormone-depleted) FBS vs germline-transmission-qualified FBS serve different experimental needs,0.847,,
P0792,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Fetal Bovine Serum-Clearance - Gibco-10438026-heat inactivated USDA-approved regions 500 ml,AstorScientific,可替代,Both FBS products but charcoal stripped vs heat inactivated differ in hormone content relevance,不可替代,Charcoal-stripped 100 ml vs standard heat-inactivated FBS 500 ml - different grade and size.,0.814,,
P0794,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Fetal Bovine Serum-Clearance - Gibico-10438-034-FBS Heat lnactivated Fetal Bovine Serum 1000ml,AstorScientific,可替代,"Both are FBS variants but differ in treatment (charcoal stripped vs heat inactivated), affecting hormone content but usable for general culture",不可替代,Charcoal-stripped FBS (hormone-depleted) vs standard heat-inactivated FBS; changes experiments,0.803,,
P0797,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Premium USDA-Origin Fetal Bovine Serum (FBS) - 500 ml,AstorScientific,相同,Both are FBS products differing mainly in processing note and pack size; charcoal-stripped vs standard is a functional difference though,可替代,"Both FBS, but charcoal-stripped removes hormones/steroids — not interchangeable for hormone-sensitive assays",0.820,,
P0798,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Tribo™ ESC/iPSC Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,可替代,"Both charcoal-stripped/qualified FBS but different processing/qualification and volume, still same functional purpose for cell culture",不可替代,Charcoal-stripped FBS (hormone-depleted) vs ESC/iPSC-qualified standard FBS — different specification affecting experiments,0.834,,
P0799,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Tribo™ Adipocyte Differentiation-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,可替代,Both FBS products but different specialization (charcoal stripped vs adipocyte differentiation),不可替代,Charcoal-stripped FBS vs adipocyte differentiation-qualified FBS; different serum specifications,0.824,,
P0952,,同一基础配方，添加成分不同,Stop Solution for TMB Substrate - 250 ML,TribioScience,TMB Stop Buffer - 500ml,GenDEPOT,可替代,"Both are TMB stop solutions from different brands, functionally interchangeable despite volume difference",相同,Both are TMB stop solutions (acid) for ELISA; differ only in brand/volume.,0.832,,
P1212,,同一基础配方，添加成分不同,Tribo Cardiomyocyte-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,"Fetal Bovine Serum, Premium, US Origin, Dialyzed",GenDEPOT,可替代,Both FBS products but different qualification/dialysis specs affecting cell applications,不可替代,Dialyzed FBS lacks small molecules vs cardiomyocyte-qualified standard FBS; changes experimental outcome,0.816,,
P1383,,同一基础配方，添加成分不同,Tribo™ Cancer Cell Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,"Fetal Bovine Serum, Premium, US Origin, Dialyzed",GenDEPOT,可替代,both FBS products but different specifications (cancer cell qualified vs dialyzed premium),不可替代,Standard FBS vs dialyzed FBS — dialysis changes metabolite content and experiment outcome,0.828,,
P1701,,同一基础配方，添加成分不同,TMB Stop Buffer - 500ml,GenDEPOT,Stop Solution for TMB Substrate - 500 ML,TribioScience,可替代,"Both are TMB stop solutions for ELISA, functionally equivalent across brands",相同,"Both are TMB stop solution, 500 mL; brand differs only",0.857,,
P0046,,不同品牌，功能相同,"WATER, 0.1um filtered, Cell Culture Tested - 50x500 ml",GenDEPOT,Agulos Biotech SimPL SP - 500 ml,AstorScientific,可替代,"Both are cell culture grade water/media additive products, likely serving similar purpose but different specific formulations",不可替代,Cell culture grade water vs a proprietary culture supplement/medium product,0.757,,
P0114,,不同品牌，功能相同,100 bp DNA Ladder MD104 - MD104-02: 100 rxns (5 µl/rxn),Vazyme,100bp DNA Ladder - 1.0 ML,TribioScience,相同,"Both are 100bp DNA ladders, same product type just different brand/packaging",可替代,Both 100 bp DNA ladders but different brands/formulations and load formats,0.833,,
P0123,,不同品牌，功能相同,Dulbecco's Phosphate-Buffered Saline (DPBS) - 1L,GenDEPOT,"Phosphate Buffered Saline, PBS - 1 L/each, 10 X",TribioScience,相同,"Both are standard DPBS/PBS buffer, interchangeable for most uses despite concentration note",可替代,Both PBS buffers but DPBS 1X vs PBS 10X concentrate; usable after dilution for most purposes,0.794,,
P0124,,不同品牌，功能相同,Dulbecco's Phosphate-Buffered Saline (DPBS) - 1L,GenDEPOT,"Phosphate Buffered Saline, PBS - 1 L/each, 1 X",TribioScience,相同,"Both standard DPBS/PBS 1x 1L, functionally interchangeable buffer",可替代,"DPBS vs PBS 1X; similar balanced saline buffers, minor formulation difference",0.793,,
P0279,,不同品牌，功能相同,Plasmid DNA Rapidprep Mini Kit - 50 Samples,TribioScience,PURY Plasmid Maxi Kit - 50 Prep,GenDEPOT,不可替代,"Mini prep kit vs Maxi prep kit differ in scale and yield, not interchangeable",可替代,"Both plasmid DNA purification kits, but mini vs maxi prep scale gives very different yields",0.839,,
P0379,,不同品牌，功能相同,"Cell Culture Plate, 6 Well CCP01006 - CCP01006: 50/Case (1/Pack, 50 Packs/Case)",Vazyme,"Cell Culture Plates-6/12/24/48/96-Well, 1/Pack, 50/Case - 6-Well / Case (50 pcs)",Biologix,相同,"Both are 6-well cell culture plates, 50/case, differing only brand/packaging",可替代,"Both sterile 6-well culture plates, 50/case; different manufacturers but equivalent function",0.842,,
P0581,,不同品牌，功能相同,Proteinase K - 1g,GenDEPOT,"Proteinase K, Lyophilized Powder, Molecular Biology Grade (TBS2119) - 1 G",TribioScience,可替代,"Same enzyme (Proteinase K) same grade/quantity but different suppliers, generally interchangeable",相同,"Same enzyme, molecular biology grade proteinase K, same 1 g amount; only brand differs",0.798,,
P0787,,不同品牌，功能相同,"WATER, 0.1um filtered, Cell Culture Tested - 500 ml",GenDEPOT,Agulos Biotech SimPL SP - 500 ml,AstorScientific,可替代,"Both are cell-culture grade aqueous reagents of similar volume, though composition may differ slightly",不可替代,Cell-culture grade water vs unrelated proprietary reagent,0.777,,
P0802,,不同品牌，功能相同,"Tris Base, Ultra Pure - 5kg",GenDEPOT,"1M Tris-HCl Buffer - 1L, pH=9.5",TribioScience,可替代,Both Tris buffer products but different form/pH/concentration,不可替代,Dry Tris base powder vs prepared 1M Tris-HCl buffer at fixed pH; different form and use,0.784,,
P0971,,不同品牌，功能相同,"Goat anti-Rabbit IgG(H+L)-HRP, 1mg/ml",GenDEPOT,MyQu™ 520nm – 640nm emission -anti-rabbit IgG conjugates - 1.0 ML,TribioScience,可替代,"Both are anti-rabbit IgG secondary conjugates (HRP vs fluorescent dye) usable for detection, but different conjugate type changes application",不可替代,"Both anti-rabbit secondaries, but HRP enzymatic conjugate vs fluorescent dye conjugate require different detection systems",0.761,,
P0972,,不同品牌，功能相同,"Goat anti-Rabbit IgG(H+L)-HRP, 1mg/ml",GenDEPOT,MagVigen™ anti-rabbit IgG conjugates - 1.0 ML,TribioScience,可替代,Both anti-rabbit IgG secondary conjugates but different conjugate chemistry (HRP vs magnetic bead),不可替代,HRP-conjugated secondary antibody vs magnetic bead anti-rabbit conjugate; different function,0.808,,
P0993,,不同品牌，功能相同,"Tris Base, Ultra Pure - 1kg",GenDEPOT,"1M Tris-HCl Buffer - 1L, pH=7.0",TribioScience,可替代,Both provide Tris buffering capacity but differ in form (solid vs pre-made solution) and pH specification,不可替代,Dry Tris base powder vs prepared 1M Tris-HCl pH 7.0 buffer,0.803,,
P1035,,不同品牌，功能相同,Mouse Adipoq (Adiponectin) - Recombinant Protein - 100ug,Astor Scientific,Mouse Adiponectin ELISA Kit - 1 Plate Kit,AstorScientific,可替代,"Recombinant protein vs ELISA kit for same target, different use but related purpose",不可替代,Recombinant protein standard vs ELISA detection kit; different function,0.861,,
P1041,,不同品牌，功能相同,"CryoKING® Cardboard Freezer Boxes-2in ( Premium White) 5/Bag, 100/Case - 81-Well / Case (100 Pcs )",Biologix,"5"" Cardboard Freezer Boxes with Drain Holes - Water and Ice Resistant Coating, 50/Case - w/ 16 Dividers",AstorScientific,不可替代,"Different sizes (2in vs 5in) and well counts/features, not interchangeable",可替代,"Both cardboard freezer boxes, but different height (2in vs 5in) and 81-well vs 16-divider configuration; only loosely interchangeable",0.737,,
P1184,,不同品牌，功能相同,100 bp DNA Ladder MD104 - MD104-01: 50 rxns (5 µl/rxn),Vazyme,100bp DNA Ladder - 1.0 ML,TribioScience,相同,"Both 100bp DNA ladders, same product type differing only in packaging/volume",可替代,"Same 100 bp DNA ladder function, different manufacturer/formulation and rxn count",0.842,,
P1316,,不同品牌，功能相同,"LB Broth, Miller - 500g",GenDEPOT,Tribo™ Terrific Broth (TB) Medium - 1 L,TribioScience,不可替代,"Different media (LB Broth vs Terrific Broth), different formulations and uses",可替代,"Both bacterial growth media but different formulations (LB Miller vs Terrific Broth), different yield/composition; usable for similar culture purposes",0.830,,
P1494,,不同品牌，功能相同,"Exprep Hybrid-Q Plasmid, Mini Prep - 50 Sample",TribioScience,PURY Plasmid Maxi Kit - 50 Prep,GenDEPOT,不可替代,"Mini prep vs Maxi prep kits differ in scale/yield, not interchangeable",可替代,Both plasmid purification kits but mini vs maxi scale yields differ,0.815,,
P1582,,不同品牌，功能相同,"dNTP Mixtures ,10mM each - 1ml",GenDEPOT,dNTP Mix (10 mM each) P031 - P031-02: 5 × 1 ml,Vazyme,可替代,Same dNTP mix concentration but different brand and pack size/volume,相同,Same 10 mM each dNTP mix; only pack volume/format differs,0.879,,
P1589,,不同品牌，功能相同,"CryoKING® Sliding Drawer Freezer Racks, 1 Piece/Case - 4 x 5",Biologix,"5"" Cardboard Freezer Boxes with Drain Holes - Water and Ice Resistant Coating, 50/Case - w/ 16 Dividers",AstorScientific,不可替代,Metal sliding drawer freezer racks vs cardboard freezer boxes are different storage solutions,可替代,Both freezer storage organizers but metal drawer rack vs cardboard boxes,0.739,,
P1645,,不同品牌，功能相同,"Bexarotene, Retinoid RXR agonist (TBI2121) - 50 MG",TribioScience,"Bexarotene, Free acid - 500mg",GenDEPOT,可替代,Same compound (Bexarotene) but different formulation/purity descriptors and pack sizes; likely usable interchangeably for research though different form noted (free acid vs standard),相同,"Same compound bexarotene, differing only in vendor/pack size and labeling",0.805,,
P1678,,不同品牌，功能相同,"CryoKING® PC Cryogenic Boxes-2in. 25-Well, 5/Pack, 30/Case - Pack (5 Pcs)",Astor Scientific,"5"" Cardboard Freezer Boxes with Drain Holes - Water and Ice Resistant Coating, 50/Case - w/ 16 Dividers",AstorScientific,不可替代,Plastic cryogenic freezer boxes vs. cardboard freezer boxes - different material and specification,可替代,"Both freezer storage boxes but different material (polycarbonate vs cardboard), size and well configuration",0.799,,
P1847,,不同品牌，功能相同,PURY Plasmid Maxi Kit - 50 Prep,GenDEPOT,GeneAll® Exfection™ Plasmid LE (Midi) - 26 Samples,TribioScience,不可替代,"Different plasmid prep kits (Maxi vs Midi) from different brands, different scale/chemistry",可替代,Both plasmid purification kits but different scale (Maxi vs Midi) and brand; serve same purpose at different yields,0.808,,
